Event,Site,Reef,Nursery,Array,Position,Size,Tag,Pos,Status,Time,Days,Date,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Small,870,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Medium,870,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Small,870,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Medium,894,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Medium,894,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Small,894,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Small,894,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Large,883,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Large,883,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Large,883,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Large,883,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Large,854,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Medium,854,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Medium,854,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Small,854,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,866,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,866,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,866,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Medium,866,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,G37,Low,Large,850,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,G37,Low,Medium,850,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,G37,Low,Small,850,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,G37,Low,Small,850,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Medium,880,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Medium,880,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Medium,880,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Small,880,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,862,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,862,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Medium,862,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,862,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Medium,874,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Small,874,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Small,874,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Small,874,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,859,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,859,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,859,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,859,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Large,419,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Small,419,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Large,419,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Small,419,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,355,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,355,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,355,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,355,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,High,Large,441,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,High,Large,441,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,High,Large,441,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,High,Large,441,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,910,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,910,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Medium,910,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Medium,910,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Large,427,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Medium,427,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Medium,427,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Large,427,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,High,Large,409,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,High,Small,409,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,High,Large,409,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,High,Large,409,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,Low,Medium,924,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,Low,Medium,924,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,Low,Small,924,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,X17,Low,Large,924,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,X17,High,Large,931,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,X17,High,Medium,931,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,X17,High,Large,931,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,X17,High,Large,931,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Medium,914,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Small,914,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Small,914,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Medium,423,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,X17,Low,Medium,423,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,X17,Low,Medium,423,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,X17,Low,Small,423,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,455,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,455,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Medium,455,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,High,Large,455,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Large,933,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Large,933,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Medium,933,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,X17,Low,Large,933,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Small,49,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,G24,High,Medium,49,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Small,49,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,49,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Medium,57,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Large,57,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Small,57,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Small,57,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Large,58,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Large,58,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Medium,58,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Medium,58,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,Low,Small,66,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,Low,Medium,66,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,Low,Medium,66,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,Low,Small,66,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,High,Small,48,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,High,Medium,48,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,High,Large,48,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,High,Large,48,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,Low,Small,50,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,Low,Medium,50,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,Low,Small,50,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,Low,Small,50,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Large,1071,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Medium,1071,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Large,1071,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Medium,1071,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Medium,1083,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Small,1083,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Medium,1083,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,Low,Medium,1083,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,923,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,923,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Medium,923,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,923,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,High,Medium,65,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,High,Medium,65,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,High,Medium,65,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Table,G24,High,Small,65,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Tree,G24,High,Large,60,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,60,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Medium,60,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,60,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,59,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,59,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,59,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA6,Nearshore,Mod,G24,High,Large,59,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,891,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,891,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,891,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,891,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,852,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,852,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,852,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,852,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,863,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,863,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,863,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,863,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,864,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,864,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,864,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,864,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Large,860,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Large,860,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Large,860,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,860,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,892,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,892,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Large,892,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,892,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,893,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Small,893,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,893,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Large,1181,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,1181,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,1181,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,CI2,Low,Medium,1181,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,871,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,871,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Large,871,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Small,871,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,882,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Large,882,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,882,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,882,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Small,861,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Small,861,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,861,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,861,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,881,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Small,881,2,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Small,881,3,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Small,881,4,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,872,1,0,0,0,11/28/2023,,,,,,,,,,,,
Outplant,Clip,Artificial Reef,Mod,XC8,High,Medium,872,2,0,0,0,11/28/2023,,,,,,,,,,,,
