Site,Reef,Nursery,Array,Position,Size,Tag,Frag,Interval_1,Interval_2,Interval_3,Absolute_Change_2,Absolute_Change_3
JA6,Nearshore,Mod,G24,High,Small,49,1,0.387,0.485,0,0.098,-0.387
JA6,Nearshore,Tree,G24,High,Medium,49,2,0.95,1.311,1.615,0.361,0.665
JA6,Nearshore,Mod,G24,High,Small,49,3,0.385,0,0,-0.385,-0.385
JA6,Nearshore,Mod,G24,High,Large,49,4,1.371,0.861,1.638,-0.51,0.267
JA6,Nearshore,Mod,G24,Low,Medium,57,1,0.875,0,0,-0.875,-0.875
JA6,Nearshore,Mod,G24,Low,Large,57,2,2.182,4.896,4.628,2.714,2.446
JA6,Nearshore,Mod,G24,Low,Small,57,3,0.409,1.828,0,1.419,-0.409
JA6,Nearshore,Mod,G24,Low,Small,57,4,0.321,1.003,1.614,0.682,1.293
JA6,Nearshore,Mod,G24,Low,Large,58,1,1.287,2.085,2.272,0.798,0.985
JA6,Nearshore,Mod,G24,Low,Large,58,2,1.186,0,0,-1.186,-1.186
JA6,Nearshore,Mod,G24,Low,Medium,58,3,0.944,2.242,0,1.298,-0.944
JA6,Nearshore,Mod,G24,Low,Medium,58,4,0.97,3.689,1.889,2.719,0.919
JA6,Nearshore,Table,G24,Low,Small,66,1,0.096,0,0,-0.096,-0.096
JA6,Nearshore,Table,G24,Low,Medium,66,2,0.603,1.536,2.294,0.933,1.691
JA6,Nearshore,Table,G24,Low,Medium,66,3,0.509,2.453,4.417,1.944,3.908
JA6,Nearshore,Table,G24,Low,Small,66,4,0.205,0.69,0.837,0.485,0.632
JA6,Nearshore,Table,G24,High,Small,48,1,0.431,0,0,-0.431,-0.431
JA6,Nearshore,Table,G24,High,Medium,48,2,0.506,0.44,0.87,-0.066,0.364
JA6,Nearshore,Table,G24,High,Large,48,3,1.531,2.209,3.539,0.678,2.008
JA6,Nearshore,Table,G24,High,Large,48,4,1.02,1.896,2.143,0.876,1.123
JA6,Nearshore,Table,G24,Low,Small,50,1,0.41,0.085,0.062,-0.325,-0.348
JA6,Nearshore,Table,G24,Low,Medium,50,2,0.96,1.081,0,0.121,-0.96
JA6,Nearshore,Table,G24,Low,Small,50,3,0.173,1.048,1.858,0.875,1.685
JA6,Nearshore,Table,G24,Low,Small,50,4,0.339,0,0,-0.339,-0.339
JA6,Nearshore,Mod,G24,Low,Large,1071,1,1.546,0.04,0.024,-1.506,-1.522
JA6,Nearshore,Mod,G24,Low,Medium,1071,2,0.54,2.94,4.63,2.4,4.09
JA6,Nearshore,Mod,G24,Low,Large,1071,3,2.235,2.809,3.504,0.574,1.269
JA6,Nearshore,Mod,G24,Low,Medium,1071,4,0.729,0,0,-0.729,-0.729
JA6,Nearshore,Mod,G24,Low,Medium,1083,1,0.7,0,0,-0.7,-0.7
JA6,Nearshore,Mod,G24,Low,Small,1083,2,0.48,1.301,0,0.821,-0.48
JA6,Nearshore,Mod,G24,Low,Medium,1083,3,0.829,1.082,0,0.253,-0.829
JA6,Nearshore,Mod,G24,Low,Medium,1083,4,0.516,0.969,2.64,0.453,2.124
JA6,Nearshore,Mod,G24,High,Large,923,1,1.059,2.048,2.912,0.989,1.853
JA6,Nearshore,Mod,G24,High,Large,923,2,1.92,2.84,2.612,0.92,0.692
JA6,Nearshore,Mod,G24,High,Medium,923,3,0.795,1.776,0,0.981,-0.795
JA6,Nearshore,Mod,G24,High,Large,923,4,1.451,0,0,-1.451,-1.451
JA6,Nearshore,Table,G24,High,Medium,65,1,0.735,0.977,0,0.242,-0.735
JA6,Nearshore,Table,G24,High,Medium,65,2,0.524,0.999,2.083,0.475,1.559
JA6,Nearshore,Table,G24,High,Medium,65,3,0.872,2.309,0,1.437,-0.872
JA6,Nearshore,Table,G24,High,Small,65,4,0.465,1.663,2.667,1.198,2.202
JA6,Nearshore,Tree,G24,High,Large,60,1,2,0,0,-2,-2
JA6,Nearshore,Mod,G24,High,Large,60,2,1.124,0,0,-1.124,-1.124
JA6,Nearshore,Mod,G24,High,Medium,60,3,0.894,0.847,0,-0.047,-0.894
JA6,Nearshore,Mod,G24,High,Large,60,4,3.98,8.162,10.832,4.182,6.852
JA6,Nearshore,Mod,G24,High,Large,59,1,1.201,1.446,2.065,0.245,0.864
JA6,Nearshore,Mod,G24,High,Large,59,2,2.375,3.913,5.492,1.538,3.117
JA6,Nearshore,Mod,G24,High,Large,59,3,1.245,1.316,1.142,0.071,-0.103
JA6,Nearshore,Mod,G24,High,Large,59,4,2.496,3.392,3.936,0.896,1.44
Clip,Artificial Reef,Mod,CI2,Low,Medium,891,1,0.546,0,0,-0.546,-0.546
Clip,Artificial Reef,Mod,CI2,Low,Medium,891,2,0.531,0,0,-0.531,-0.531
Clip,Artificial Reef,Mod,CI2,Low,Small,891,3,0.233,0,0,-0.233,-0.233
Clip,Artificial Reef,Mod,CI2,Low,Small,891,4,0.03,0.283,2.037,0.253,2.007
Clip,Artificial Reef,Mod,CI2,Low,Small,852,1,0.423,1.067,1.195,0.644,0.772
Clip,Artificial Reef,Mod,CI2,Low,Small,852,2,0.138,0.762,0,0.624,-0.138
Clip,Artificial Reef,Mod,CI2,Low,Medium,852,3,0.535,0.008,1.407,-0.527,0.872
Clip,Artificial Reef,Mod,CI2,Low,Medium,852,4,0.749,0.768,3.573,0.019,2.824
Clip,Artificial Reef,Mod,CI2,Low,Medium,863,1,0.675,2.28,2.49,1.605,1.815
Clip,Artificial Reef,Mod,CI2,Low,Small,863,2,0.423,0.484,0.616,0.061,0.193
Clip,Artificial Reef,Mod,CI2,Low,Medium,863,3,0.743,0.047,0,-0.696,-0.743
Clip,Artificial Reef,Mod,CI2,Low,Small,863,4,0.428,2.055,1.677,1.627,1.249
Clip,Artificial Reef,Mod,CI2,Low,Small,864,1,0.052,0.756,2.003,0.704,1.951
Clip,Artificial Reef,Mod,CI2,Low,Small,864,2,0.114,1.534,2.505,1.42,2.391
Clip,Artificial Reef,Mod,CI2,Low,Small,864,3,0.355,1.854,2.413,1.499,2.058
Clip,Artificial Reef,Mod,CI2,Low,Small,864,4,0.142,0.784,0,0.642,-0.142
Clip,Artificial Reef,Mod,CI2,Low,Large,860,1,1.251,0.607,0.507,-0.644,-0.744
Clip,Artificial Reef,Mod,CI2,Low,Large,860,2,1.621,3.588,5.52,1.967,3.899
Clip,Artificial Reef,Mod,CI2,Low,Large,860,3,1.396,0,0,-1.396,-1.396
Clip,Artificial Reef,Mod,CI2,Low,Small,860,4,0.071,0,0,-0.071,-0.071
Clip,Artificial Reef,Mod,CI2,Low,Medium,892,1,0.874,2.215,5.085,1.341,4.211
Clip,Artificial Reef,Mod,CI2,Low,Medium,892,2,0.818,0.498,1.058,-0.32,0.24
Clip,Artificial Reef,Mod,CI2,Low,Large,892,3,1.103,3.385,5.381,2.282,4.278
Clip,Artificial Reef,Mod,CI2,Low,Medium,892,4,0.515,1.019,2.135,0.504,1.62
Clip,Artificial Reef,Mod,CI2,Low,Small,893,1,0.327,0.926,0,0.599,-0.327
Clip,Artificial Reef,Mod,CI2,Low,Small,893,3,0.091,0,0,-0.091,-0.091
Clip,Artificial Reef,Mod,CI2,Low,Medium,893,4,0.925,1.805,2.812,0.88,1.887
Clip,Artificial Reef,Mod,CI2,Low,Large,1181,1,1.27,1.477,1.305,0.207,0.035
Clip,Artificial Reef,Mod,CI2,Low,Medium,1181,2,0.624,0.421,1.374,-0.203,0.75
Clip,Artificial Reef,Mod,CI2,Low,Medium,1181,3,0.795,0.722,2.835,-0.073,2.04
Clip,Artificial Reef,Mod,CI2,Low,Medium,1181,4,0.849,0,0,-0.849,-0.849
Clip,Artificial Reef,Mod,XC8,High,Medium,871,1,0.583,0.494,0,-0.089,-0.583
Clip,Artificial Reef,Mod,XC8,High,Medium,871,2,0.886,0,0,-0.886,-0.886
Clip,Artificial Reef,Mod,XC8,High,Large,871,3,1.367,0.029,0,-1.338,-1.367
Clip,Artificial Reef,Mod,XC8,High,Small,871,4,0.413,0,0,-0.413,-0.413
Clip,Artificial Reef,Mod,XC8,High,Medium,882,1,0.969,0,0,-0.969,-0.969
Clip,Artificial Reef,Mod,XC8,High,Large,882,2,1.084,0,0,-1.084,-1.084
Clip,Artificial Reef,Mod,XC8,High,Medium,882,3,0.501,0.145,0,-0.356,-0.501
Clip,Artificial Reef,Mod,XC8,High,Medium,882,4,0.536,0,0,-0.536,-0.536
Clip,Artificial Reef,Mod,XC8,High,Small,861,1,0.069,0,0,-0.069,-0.069
Clip,Artificial Reef,Mod,XC8,High,Small,861,2,0.068,0.052,0,-0.016,-0.068
Clip,Artificial Reef,Mod,XC8,High,Medium,861,3,0.509,0,0,-0.509,-0.509
Clip,Artificial Reef,Mod,XC8,High,Medium,861,4,0.503,0,0,-0.503,-0.503
Clip,Artificial Reef,Mod,XC8,High,Medium,881,1,0.756,0,0,-0.756,-0.756
Clip,Artificial Reef,Mod,XC8,High,Small,881,2,0.122,0,0,-0.122,-0.122
Clip,Artificial Reef,Mod,XC8,High,Small,881,3,0.138,0.015,0,-0.123,-0.138
Clip,Artificial Reef,Mod,XC8,High,Small,881,4,0.358,0,0,-0.358,-0.358
Clip,Artificial Reef,Mod,XC8,High,Medium,872,1,0.548,0,0,-0.548,-0.548
Clip,Artificial Reef,Mod,XC8,High,Medium,872,2,0.962,0,0,-0.962,-0.962
Clip,Artificial Reef,Mod,XC8,High,Small,872,3,0.36,0,0,-0.36,-0.36
Clip,Artificial Reef,Mod,XC8,High,Small,872,4,0.449,0,0,-0.449,-0.449
Clip,Artificial Reef,Mod,XC8,High,Small,890,1,0.393,0,0,-0.393,-0.393
Clip,Artificial Reef,Mod,XC8,High,Small,890,2,0.372,0.302,0,-0.07,-0.372
Clip,Artificial Reef,Mod,XC8,High,Medium,890,3,0.82,0.678,0,-0.142,-0.82
Clip,Artificial Reef,Mod,XC8,High,Small,890,4,0.43,0.955,0,0.525,-0.43
Clip,Artificial Reef,Mod,XC8,High,Large,250,1,1.109,0,0,-1.109,-1.109
Clip,Artificial Reef,Mod,XC8,High,Large,250,2,1.006,0.661,0,-0.345,-1.006
Clip,Artificial Reef,Mod,XC8,High,Small,250,3,0.046,0,0,-0.046,-0.046
Clip,Artificial Reef,Mod,XC8,High,Small,250,4,0.273,0.176,0.016,-0.097,-0.257
Clip,Artificial Reef,Mod,XC8,High,Small,851,1,0.03,0.046,0,0.016,-0.03
Clip,Artificial Reef,Mod,XC8,High,Small,851,2,0.372,0,0,-0.372,-0.372
Clip,Artificial Reef,Mod,XC8,High,Small,851,3,0.418,0,0,-0.418,-0.418
Clip,Artificial Reef,Mod,XC8,High,Small,851,4,0.405,0,0,-0.405,-0.405
